apt-type,city,address,rooms,floor,size,price,apt-link,attributes
בית פרטי/ קוטג',חדרה,חיים משה שפירא 16,5,קרקע,250,7500,https://www.yad2.co.il/realestate/item/ntzceq53?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=2,"ממ""ד, 4 כיווני אוויר, חניה"
דירה,נתניה,אמנון ליפקין שחק 1,5,29,164,9000,https://www.yad2.co.il/realestate/item/b29c2k2l?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=2,"ממ""ד, נוף פתוח לים, חניה"
דירה,חיפה,"שדרות מח""ל 41",3,1,63,1800,https://www.yad2.co.il/realestate/item/v5emxm52?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=2,"ממ""ד, נוף פתוח לים, נכס עורפי"
דירה,חיפה,בית לחם 13,4.5,3,90,4200,https://www.yad2.co.il/realestate/item/ybzozbjc?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=2,"ייחודי, חבל לפספס, בהזדמנות"
סטודיו/ לופט,כפר אדומים,השיטה 4,1,קרקע,20,1700,https://www.yad2.co.il/realestate/item/cx40sqmj?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=2,"חבל לפספס, בהזדמנות, מומלץ"
דירה,אריאל,הערבה 57,5,2,122,5100,https://www.yad2.co.il/realestate/item/ic96d5v6?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=2,"ממ""ד, חניה, קרוב לפארק"
דירת גן,ירושלים,הנרייטה סולד 3,2,3,140,6023,https://www.yad2.co.il/realestate/item/m506lj05?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=2,"ממ""ד, נוף פתוח לפארק, חניה"
בית פרטי/ קוטג',כברי,שביל חרצית 1,3,קרקע,175,4000,https://www.yad2.co.il/realestate/item/tiw5gq1c?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=2,"2 מרפסות, נוף פתוח לפארק, בניין משופץ"
דירה,קרית מוצקין,כצנלסון 3,4,2,90,5250,https://www.yad2.co.il/realestate/item/0w5c2kbw?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=2,"חניה, חדש מקבלן, בניין משופץ"
דירה,חיפה,אלברט איינשטיין 21,5.5,2,130,6800,https://www.yad2.co.il/realestate/item/5zhzbb8t?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=2,"אחריי להתחדשות עירונית, 4 כיווני אוויר, חניה"
דירה,חיפה,השלום 12,3,קרקע,70,3600,https://www.yad2.co.il/realestate/item/wohgyrf3?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=2,"3 כיווני אוויר, מטבח גדול, בניין משופץ"
יחידת דיור,פקיעין חדשה,8655 1,2.5,1,40,3000,https://www.yad2.co.il/realestate/item/z5eeu8kh?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=3,"נוף פתוח לפארק, נכס חדש, בהזדמנות"
דירה,תל אביב יפו,שייקה דן 12,2,1,35,2900,https://www.yad2.co.il/realestate/item/40ne7sd7?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=3,"נוף פתוח לעיר, חניה, בהזדמנות"
דירה,תל אביב יפו,נתן הנביא 30,2,2,50,3700,https://www.yad2.co.il/realestate/item/iololgbn?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=3,"ממ""ד, חבל לפספס, בהזדמנות"
סטודיו/ לופט,בת ים,שדרות העצמאות 66,1,קרקע,38,3300,https://www.yad2.co.il/realestate/item/ngxt8hjq?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=3,"נכס עורפי, חדש מקבלן, בהזדמנות"
דירה,חיפה,בנימין ד'ישראלי 51,4,1,90,4950,https://www.yad2.co.il/realestate/item/m8uxfw92?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=3,"3 כיווני אוויר, נוף פתוח לעיר, בניין משופץ"
דירה,בת ים,שדרות בר אילן 14,4,3,100,5100,https://www.yad2.co.il/realestate/item/m1eux5u1?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=3,"נוף פתוח לפארק, קרוב לים, קרוב לפארק"
דירה,ראשון לציון,"צ""ג בנות 3",4,2,100,6200,https://www.yad2.co.il/realestate/item/0t6t6lt8?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=3,"חניה, יחידת הורים, בהזדמנות"
דירה,חיפה,"פלמ""ח 3",3,2,65,4100,https://www.yad2.co.il/realestate/item/6bz2v5ad?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=3,"3 כיווני אוויר, נוף פתוח לפארק, יחידת הורים"
דירה,באר שבע,הנרי קנדל 14,5,10,150,4700,https://www.yad2.co.il/realestate/item/b8ekszrn?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=3,"ממ""ד, 4 כיווני אוויר, חניה"
יחידת דיור,אריאל,משעול הזית 3,2.5,1,65,2800,https://www.yad2.co.il/realestate/item/zjo76pbt?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=3,"נוף פתוח לים, קרוב לפארק, בהזדמנות"
דירה,נהריה,שמעון רייך 20,4.5,1,108,3600,https://www.yad2.co.il/realestate/item/1j393jni?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=3,"3 כיווני אוויר, נוף פתוח לעיר, בהזדמנות"
דירה,רחובות,עזרא 25,2.5,4,70,4250,https://www.yad2.co.il/realestate/item/p86py4ih?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=3,"נוף פתוח לעיר, נכס עורפי, בהזדמנות"
דירת גן,הרצליה,"כ""ט בנובמבר 9",4,קרקע,130,8500,https://www.yad2.co.il/realestate/item/5dx9tsz0?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=3,"2 מרפסות, 3 כיווני אוויר, חניה"
גג/ פנטהאוז,טבריה,"כי""ח 11",3,7,100,4500,https://www.yad2.co.il/realestate/item/dne6bno9?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=4,"2 מרפסות, ממ""ד, חניה"
דירה,אריאל,נווה שאנן 16,6,4,172,1400,https://www.yad2.co.il/realestate/item/e9dndadx?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=4,"3 חדרי מקלחת, 3 כיווני אוויר, חניה"
יחידת דיור,מתן,כלנית 34,2,1,46,4200,https://www.yad2.co.il/realestate/item/gy5hgqwb?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=4,"נכס חדש, מטבח גדול, בהזדמנות"
מרתף/ פרטר,הוד השרון,אלול 7,2,קרקע,50,4500,https://www.yad2.co.il/realestate/item/dubckagi?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=4,"ממ""ד, 3 כיווני אוויר, בהזדמנות"
דירה,יקנעם עילית,הדודאים 22,3,2,90,3500,https://www.yad2.co.il/realestate/item/g5e8hy16?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=4,"ממ""ד, נוף פתוח לפארק, בהזדמנות"
דו משפחתי,ראשון לציון,הדיונון 14,7,קרקע,250,13000,https://www.yad2.co.il/realestate/item/385rgivc?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=4,"3 מרפסות, 4 חדרי מקלחת, 3 כיווני אוויר"
דירה,ראשון לציון,הפסנתר 10,4.5,3,90,7000,https://www.yad2.co.il/realestate/item/9lk7gk5x?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=4,"ממ""ד, 4 כיווני אוויר, חניה"
דירה,נצרת עילית / נוף הגליל,מירון 6,3,3,60,2200,https://www.yad2.co.il/realestate/item/txzjas0i?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=4,"3 כיווני אוויר, נוף פתוח לעיר, בהזדמנות"
דירה,תל אביב יפו,"מח""ל 18",3,1,96,6500,https://www.yad2.co.il/realestate/item/znjx80na?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=4,"2 מרפסות, 3 כיווני אוויר, חניה"
בית פרטי/ קוטג',קרני שומרון,האורנים 20,4,2,240,4400,https://www.yad2.co.il/realestate/item/ncom7a1g?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=4,"2 מרפסות, נכס עורפי, בהזדמנות"
יחידת דיור,קצרין,דליות 3,3,1,279,4150,https://www.yad2.co.il/realestate/item/xql4deke?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=4,"ממ""ד, 4 כיווני אוויר, חניה"
דירה,גבעתיים,הרב הרצוג 8,3,3,85,7200,https://www.yad2.co.il/realestate/item/tq0o1k26?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=4,"חניה, נכס עורפי, בהזדמנות"
דירה,גבעתיים,המעיין 35,2,3,60,5000,https://www.yad2.co.il/realestate/item/602t2zrk?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=4,"נוף פתוח לעיר, חניה, בהזדמנות"
בית פרטי/ קוטג',תל אביב יפו,"ד""ר רות רופין פלד 8",5,קרקע,300,22000,https://www.yad2.co.il/realestate/item/x2cg8214?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=5,"ממ""ד, חניה, נכס עורפי"
דירה,רמת גן,שאר ישוב 8,4.5,3,120,7800,https://www.yad2.co.il/realestate/item/7o5xppvt?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=5,"3 כיווני אוויר, חניה, נכס עורפי"
בית פרטי/ קוטג',רמת גן,התפוצות 56,4,קרקע,200,6900,https://www.yad2.co.il/realestate/item/23edbgxm?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=5,"מטבח גדול, חבל לפספס, בהזדמנות"
דירה,קרית אתא,נתיב השומרון 5,4,3,100,3500,https://www.yad2.co.il/realestate/item/bfl73i3q?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=5,"חניה, בניין משופץ, בהזדמנות"
סאבלט,עדנים,היסמין 1,3,קרקע,200,6000,https://www.yad2.co.il/realestate/item/lfl01g62?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=5,"ממ""ד, נכס עורפי, בהזדמנות"
דירה,קרית ביאליק,דרור 2,2,3,60,2600,https://www.yad2.co.il/realestate/item/n6kge7ec?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=5,"3 כיווני אוויר, נוף פתוח לפארק, מטבח גדול"
דירה,באר שבע,סמטת מודיעין 10,4.5,3,70,3600,https://www.yad2.co.il/realestate/item/h6oq5vyn?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=5,"3 כיווני אוויר, נכס עורפי, קרוב לפארק"
דירה,חיפה,אידר 6,5,2,141,5900,https://www.yad2.co.il/realestate/item/cmhuyx8k?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=5,"4 כיווני אוויר, נוף פתוח לים, קרוב לים"
דירה,חיפה,יוסף 8,1,1,25,2200,https://www.yad2.co.il/realestate/item/sf1d2x64?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=5,"בניין משופץ, חבל לפספס, בהזדמנות"
דירה,באר שבע,משה שרת 20,4,7,104,3000,https://www.yad2.co.il/realestate/item/k2iknyij?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=5,"חניה, חבל לפספס, בהזדמנות"
בית פרטי/ קוטג',קדומים,"מעלה רש""י 1",5,קרקע,640,6000,https://www.yad2.co.il/realestate/item/emj8cn7w?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=5,"4 כיווני אוויר, נוף פתוח לעיר, נכס חדש"
יחידת דיור,תל אביב יפו,ענתות 29,2.5,קרקע,70,5000,https://www.yad2.co.il/realestate/item/18kqfcwj?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=5,"ממ""ד, נכס עורפי, בהזדמנות"
דירה,רמת השרון,"רד""ק 9",4.5,1,120,8000,https://www.yad2.co.il/realestate/item/hn73xbfi?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=5,"3 כיווני אוויר, נוף פתוח לפארק, חניה"
דירה,תל אביב יפו,מלצ'ט 4,2,3,53,8500,https://www.yad2.co.il/realestate/item/1s5o9t92?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=6,"3 כיווני אוויר, נוף פתוח לפארק, נכס עורפי"
גג/ פנטהאוז,חריש,שוהם 50,4.5,4,160,4900,https://www.yad2.co.il/realestate/item/28b9mdsi?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=6,"ממ""ד, נוף פתוח לפארק, חניה"
דירה,בת ים,מסריק 14,5,2,116,8600,https://www.yad2.co.il/realestate/item/g66j5jnk?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=6,"4 כיווני אוויר, נוף פתוח לים, חניה"
דירה,חיפה,שושנת הכרמל 27,3,2,75,4500,https://www.yad2.co.il/realestate/item/awkudata?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=6,"ממ""ד, 3 כיווני אוויר, חניה"
דירה,רמת גן,"הרא""ה 114",1.5,1,45,3500,https://www.yad2.co.il/realestate/item/0a02rh1m?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=6,"2 מרפסות, נכס עורפי, מטבח גדול"
דירה,חיפה,פרץ מרקיש 7,4.5,11,100,5100,https://www.yad2.co.il/realestate/item/79vw24q6?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=6,"ממ""ד, נוף פתוח לפארק, חניה"
דירה,נהריה,וולפסון 66,4.5,2,105,3900,https://www.yad2.co.il/realestate/item/8k3783tl?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=6,"אחריי להתחדשות עירונית, 3 כיווני אוויר, חניה"
דירה,הרצליה,השונית 10,2,11,70,8000,https://www.yad2.co.il/realestate/item/9i68l0xh?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=6,"ממ""ד, נוף פתוח לים, חניה"
דירה,עפולה,החריש 16,5,2,130,4750,https://www.yad2.co.il/realestate/item/p9uohg4p?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=6,"ממ""ד, נוף פתוח לעיר, חניה"
דירה,קרית אתא,הנרייטה סולד 11,3,2,60,2800,https://www.yad2.co.il/realestate/item/o1k3jyvp?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=6,"נוף פתוח לעיר, מטבח גדול, בניין משופץ"
יחידת דיור,ראשון לציון,זכרון שרה 23,2,קרקע,50,3750,https://www.yad2.co.il/realestate/item/227f3lkb?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=6,"ממ""ד, חניה, בניין משופץ"
בית פרטי/ קוטג',"כפר ביל""ו",דרך הפרדסים 20,5,קרקע,700,לא צוין מחיר,https://www.yad2.co.il/realestate/item/p82evnpz?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=6,"4 כיווני אוויר, נוף פתוח לפארק, חניה"
דירה,חיפה,הגליל 60,4,2,111,5250,https://www.yad2.co.il/realestate/item/lnrma4fv?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=6,"ממ""ד, נוף פתוח לעיר, משופצת אדריכלית"
דירה,ראשון לציון,הגדוד העברי 48,3,3,90,4800,https://www.yad2.co.il/realestate/item/ossyj0vo?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=7,"נוף פתוח לעיר, חניה, בהזדמנות"
בית פרטי/ קוטג',אבן יהודה,חוף 8,9,קרקע,340,19500,https://www.yad2.co.il/realestate/item/aiapdl6b?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=7,"3 מרפסות, 4 חדרי מקלחת, חדש מקבלן"
בית פרטי/ קוטג',קרית ים,הערבה 21,4.5,קרקע,180,5500,https://www.yad2.co.il/realestate/item/9zzhcbp2?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=7,"3 כיווני אוויר, נוף פתוח לעיר, חניה"
דירה,בת ים,השיקמה 40,3,2,84,3400,https://www.yad2.co.il/realestate/item/0k4ovsa0?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=7,"קרוב לים, מטבח גדול, בהזדמנות"
דירה,אשקלון,ח.מ. שפירא 47,3,4,80,3200,https://www.yad2.co.il/realestate/item/33wxud5q?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=7,"ממ""ד, נוף פתוח לעיר, בהזדמנות"
דירה,באר שבע,חיים נחמן ביאליק 108,1.5,3,28,1600,https://www.yad2.co.il/realestate/item/5ot86j7n?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=7,"נוף פתוח לפארק, נכס עורפי, בניין משופץ"
דירה,מבשרת ציון,שדרות החוצבים 5,4,2,109,6800,https://www.yad2.co.il/realestate/item/p7v06fot?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=7,"3 כיווני אוויר, חניה, חדש מקבלן"
דירת גן,רמת גן,רמז 2,2,1,38,4200,https://www.yad2.co.il/realestate/item/q6k771b3?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=7,"בניין משופץ, קרוב לפארק, בהזדמנות"
דירה,פתח תקווה,אלתרמן 7,4,8,90,5800,https://www.yad2.co.il/realestate/item/17mpf2nx?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=7,"נוף פתוח לעיר, נכס עורפי, בניין משופץ"
יחידת דיור,פתח תקווה,"י""ד הבנים 49",1,קרקע,45,4000,https://www.yad2.co.il/realestate/item/2ajslihf?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=7,"נכס חדש, חבל לפספס, בהזדמנות"
דירה,כפר סבא,סוקולוב 13,3,2,97,5900,https://www.yad2.co.il/realestate/item/uh43yixm?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=7,"3 כיווני אוויר, נוף פתוח לעיר, בהזדמנות"
דירה,ראשון לציון,נורדאו 8,4.5,4,114,4800,https://www.yad2.co.il/realestate/item/imhzaagw?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=7,"מטבח גדול, קרוב לפארק, בהזדמנות"
יחידת דיור,רמת גן,יוסף ספיר 34,2,1,35,4000,https://www.yad2.co.il/realestate/item/mipxv8s3?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=7,"נוף פתוח לעיר, נכס עורפי, בהזדמנות"
גג/ פנטהאוז,אילת,נחל שחרות 10,4,4,145,8500,https://www.yad2.co.il/realestate/item/mqdyi6dv?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=8,"3 מרפסות, 3 כיווני אוויר, חניה"
בית פרטי/ קוטג',כפר יונה,"פלמ""ח 39",3,1,100,4800,https://www.yad2.co.il/realestate/item/3ohlogky?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=8,"3 כיווני אוויר, נוף פתוח לפארק, חניה"
דופלקס,פתח תקווה,הרב פינטו מסעוד אשר 5,6,9,275,11500,https://www.yad2.co.il/realestate/item/9qhsxnm1?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=8,"2 מרפסות, 4 חדרי מקלחת, 3 כיווני אוויר"
יחידת דיור,לוד,הנרי הרץ 2,2,3,35,2950,https://www.yad2.co.il/realestate/item/4n30pcp5?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=8,"בניין משופץ, חבל לפספס, בהזדמנות"
בית פרטי/ קוטג',בנימינה גבעת עדה,הנשר 11,5,קרקע,170,9000,https://www.yad2.co.il/realestate/item/7ttontqq?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=8,"ממ""ד, 4 כיווני אוויר, חניה"
דירה,ראש העין,שדרות בן גוריון 41,6,2,157,6800,https://www.yad2.co.il/realestate/item/puol66l0?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=8,"3 חדרי מקלחת, 3 כיווני אוויר, חניה"
דירה,נהריה,דולב 13,5,12,139,4500,https://www.yad2.co.il/realestate/item/zt9cuxs1?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=8,"ממ""ד, חניה, חדש מקבלן"
דירה,אשקלון,ז'בוטינסקי 9,3,2,75,2700,https://www.yad2.co.il/realestate/item/4oiu80po?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=8,"3 כיווני אוויר, חבל לפספס, בהזדמנות"
דירה,קרית ביאליק,קרן היסוד 88,2,4,35,2500,https://www.yad2.co.il/realestate/item/ieu94bly?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=8,"ייחודי, חבל לפספס, בהזדמנות"
יחידת דיור,להבים,מירומית 16,2,קרקע,58,3200,https://www.yad2.co.il/realestate/item/eb8ifive?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=8,"חניה, חבל לפספס, בהזדמנות"
דירה,חולון,יבנה 14,3,1,74,4600,https://www.yad2.co.il/realestate/item/zyw5tvkd?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=8,"2 מרפסות, נוף פתוח לעיר, בהזדמנות"
יחידת דיור,תל אביב יפו,האלוף מרדכי מוטי הוד 19,1.5,1,45,3700,https://www.yad2.co.il/realestate/item/7qhf1idi?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=8,"בניין משופץ, חבל לפספס, בהזדמנות"
דירה,רחובות,משה חרש 4,3,4,78,6100,https://www.yad2.co.il/realestate/item/jmqrpe3v?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=8,"נוף פתוח לעיר, חניה, נכס עורפי"
בית פרטי/ קוטג',חדרה,ירושלים 38,5,קרקע,220,8500,https://www.yad2.co.il/realestate/item/3q94y4h7?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=9,"3 כיווני אוויר, בניין משופץ, גמיש במחיר"
דירה,בני ברק,אבן שפרוט 3,2,3,50,3500,https://www.yad2.co.il/realestate/item/0jxyoj2c?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=9,"נכס עורפי, חבל לפספס, בהזדמנות"
יחידת דיור,אילת,המלך יהושפט 33,1.5,קרקע,35,2800,https://www.yad2.co.il/realestate/item/70oljmk9?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=9,"נכס עורפי, חבל לפספס, בהזדמנות"
דירה,בת ים,"רמב""ם 5",4,1,100,6600,https://www.yad2.co.il/realestate/item/tbnp5utu?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=9,"חניה, קרוב לים, בניין משופץ"
דירה,אילת,עין נטפים 13,5.5,2,159,6400,https://www.yad2.co.il/realestate/item/bnz1avvb?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=9,"3 חדרי מקלחת, 3 כיווני אוויר, חניה"
דירה,באר שבע,דרך השלום 20,3,קרקע,53,2200,https://www.yad2.co.il/realestate/item/kmuogakh?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=9,"ייחודי, חבל לפספס, בהזדמנות"
דירה,תל אביב יפו,אבא אחימאיר 14,3.5,2,65,7800,https://www.yad2.co.il/realestate/item/gbus6qc2?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=9,"נוף פתוח לפארק, חניה, בהזדמנות"
דו משפחתי,קדימה צורן,הר נבו 11,4,קרקע,380,11800,https://www.yad2.co.il/realestate/item/iw0selwo?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=9,"2 מרפסות, ממ""ד, חניה"
דירה,תל אביב יפו,זרח 28,1.5,2,35,3650,https://www.yad2.co.il/realestate/item/811p9tm4?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=9,"3 כיווני אוויר, נוף פתוח לעיר, בניין משופץ"
בית פרטי/ קוטג',מישר,העפרוני 201,5,קרקע,500,14000,https://www.yad2.co.il/realestate/item/of1aok30?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=9,"3 מרפסות, 4 כיווני אוויר, חניה"
דירה,שערי תקווה,ברקת 98,1,קרקע,60,2200,https://www.yad2.co.il/realestate/item/3e7z9lr3?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=9,"ממ""ד, 3 כיווני אוויר, נוף פתוח לעיר"
דירה,באר שבע,"שדרות שז""ר 7",2,3,40,2000,https://www.yad2.co.il/realestate/item/a8gy9myj?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=9,"נוף פתוח לעיר, חבל לפספס, בהזדמנות"
דירה,נס ציונה,הטייסים 28,4.5,3,100,5450,https://www.yad2.co.il/realestate/item/2qxemkn7?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=9,"נכס עורפי, מטבח גדול, קרוב לפארק"
