apt-type,city,address,rooms,floor,size,price,apt-link
דירה,אשדוד,רבי עקיבא 11,4,4,100,4300,https://www.yad2.co.il/realestate/item/4vk97c9v?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=82
דירה,אשדוד,הראשונים 26,2,2,40,2800,https://www.yad2.co.il/realestate/item/0g5odz7a?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=85
דירה,אשדוד,אבות ישורון 4,4,2,100,5200,https://www.yad2.co.il/realestate/item/ts0blkqf?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=90
דירה,אשדוד,זלמן ארן 21,3,4,70,5000,https://www.yad2.co.il/realestate/item/naic3dng?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=93
דירה,אשדוד,משמר הירדן 10,2.5,3,50,3000,https://www.yad2.co.il/realestate/item/l9aelxz7?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=93
דירה,אשדוד,מבוא המלך עומרי 4,4,2,100,4900,https://www.yad2.co.il/realestate/item/8mgin4e9?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=99
דירה,אשדוד,קיבוץ גלויות,2.5,3,50,3000,"https://www.homeless.co.il/rent/viewad,711487.aspx"
דירה,אשדוד,האצ''ל,4,3,117,5800,"https://www.homeless.co.il/rent/viewad,716977.aspx"
דירה,אשדוד,אחד העם 2,3.5,2,71,3900,"https://www.homeless.co.il/rent/viewad,719400.aspx"
דירה,אשדוד,ז׳בוטינסקי 10,3,3,64,3400,"https://www.homeless.co.il/rent/viewad,717451.aspx"
דירה,אשדוד,רוגוזין,3,4,85,3500,"https://www.homeless.co.il/rent/viewad,715191.aspx"
יחידת דיור,אשדוד,הרב קוק,1.5,2,35,2500,"https://www.homeless.co.il/rent/viewad,717455.aspx"
דירה,אשקלון,ח.מ. שפירא 47,3,4,80,3200,https://www.yad2.co.il/realestate/item/33wxud5q?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=7
דירה,אשקלון,ז'בוטינסקי 9,3,2,75,2700,https://www.yad2.co.il/realestate/item/4oiu80po?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=8
יחידת דיור,אשקלון,ילתא 5,2,0,95,3200,https://www.yad2.co.il/realestate/item/ty1qf2y0?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=10
דירה,אשקלון,מנדלי מוכר ספרים 6,2,3,35,2000,https://www.yad2.co.il/realestate/item/3y9gyuvb?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=12
דירה,אשקלון,עולי הגרדום 9,3.5,1,70,2990,https://www.yad2.co.il/realestate/item/43tx7b4f?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=34
דו משפחתי,אשקלון,זבולון 22,2,0,50,2900,https://www.yad2.co.il/realestate/item/sy3me2e6?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=41
דירה,אשקלון,הר כנען 15,4,3,86,3700,https://www.yad2.co.il/realestate/item/3hko0yt5?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=41
דירה,אשקלון,ביאליק 53,2,1,40,2250,https://www.yad2.co.il/realestate/item/i46pmz1i?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=41
דירה,אשקלון,משה דיין 1,4,11,135,8000,https://www.yad2.co.il/realestate/item/rcukusc0?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=41
דירה,אשקלון,ז'בוטינסקי 14,3,2,75,2200,https://www.yad2.co.il/realestate/item/af3d0cld?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=42
גג/ פנטהאוז,אשקלון,יונתן נתניהו 2,5.5,13,320,10000,https://www.yad2.co.il/realestate/item/0h6zh4m2?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=46
יחידת דיור,אשקלון,צבי סגל 78,3,1,70,2400,https://www.yad2.co.il/realestate/item/ey0bcycd?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=49
דירה,אשקלון,נחל תנינים 6,5,3,140,5800,https://www.yad2.co.il/realestate/item/mgit4xc9?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=50
דירה,אשקלון,גיורא יוספטל 1,3,1,52,,https://www.yad2.co.il/realestate/item/1ip1p1qp?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=53
דירה,אשקלון,גיורא יוספטל 1,3,1,52,,https://www.yad2.co.il/realestate/item/1ip1p1qp?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=55
בית פרטי/ קוטג',אשקלון,כרמלי 13,5,0,420,7250,https://www.yad2.co.il/realestate/item/g6jcvywa?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=57
דירה,אשקלון,אליעזר מילרוד 12,3,0,56,2665,https://www.yad2.co.il/realestate/item/ej7cb4in?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=58
דירה,אשקלון,ההסתדרות 30,2,2,35,2380,https://www.yad2.co.il/realestate/item/z0pavvp8?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=60
דירה,אשקלון,יפה נוף 1,4,13,120,,https://www.yad2.co.il/realestate/item/wb790i0p?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=95
יחידת דיור,אשקלון,ביאליק 20,1.5,1,80,1800,https://www.yad2.co.il/realestate/item/2tv9f1ip?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=98
דירה,אשקלון,י.ל. פרץ,2.5,1,60,2400,"https://www.homeless.co.il/rent/viewad,714507.aspx"
דירה,אשקלון,אבשלום חביב,4,4,100,2900,"https://www.homeless.co.il/rent/viewad,716002.aspx"
דירה,אשקלון,אריה בין אליעזר,4,3,84,3300,"https://www.homeless.co.il/rent/viewad,715769.aspx"
דירה,אשקלון,גדעון בן יואש,4,5,120,3750,"https://www.homeless.co.il/rent/viewad,688206.aspx"
דירה,אשקלון,משה שפירא 18,3.5,3,75,2200,"https://www.homeless.co.il/rent/viewad,713975.aspx"
דירה,אשקלון,חובבי ציון,4,1,100,3400,"https://www.homeless.co.il/rent/viewad,716787.aspx"
דירה,אשקלון,אריה בן אליעזר,5,7,120,3700,"https://www.homeless.co.il/rent/viewad,709593.aspx"
דירה,אשקלון,ח.מ. שפירא,4.5,7,110,3500,"https://www.homeless.co.il/rent/viewad,708282.aspx"
דירה,אשקלון,אליעזר מילרוד,3,4,54,1900,"https://www.homeless.co.il/rent/viewad,712995.aspx"
דירת סטודיו,אשקלון,וורון יורם,1.5,5,35,2500,"https://www.homeless.co.il/rent/viewad,715589.aspx"
יחידת דיור,אשקלון,הסתדות 18,2,1,40,2500,"https://www.homeless.co.il/rent/viewad,717210.aspx"
קוטג,אשקלון,אשכולי פז,6,0,220,9500,"https://www.homeless.co.il/rent/viewad,712468.aspx"
דו משפחתי,אשקלון,כרמלי,5,0,180,7500,"https://www.homeless.co.il/rent/viewad,710392.aspx"
בית פרטי,אשקלון,הנמל 13,2,0,50,3500,"https://www.homeless.co.il/rent/viewad,719156.aspx"
דירה,באר גנים,הסביון 7,2,-1,64,4000,https://www.yad2.co.il/realestate/item/lxd8vgah?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=42
דירה,באר יעקב,אפרים קישון 1,4,2,105,6800,https://www.yad2.co.il/realestate/item/ag80bsou?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=1
דירה,באר יעקב,לאה גולדברג 10,5,6,145,7900,https://www.yad2.co.il/realestate/item/vsk0t47v?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=22
יחידת דיור,באר יעקב,ז'בוטינסקי 17,2,0,37,3500,https://www.yad2.co.il/realestate/item/4rtad0c4?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=34
דירה,באר יעקב,יהלום 2,5,11,175,9000,https://www.yad2.co.il/realestate/item/pd3ms5o2?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=54
דירה,באר יעקב,דגן,5,5,130,7500,"https://www.homeless.co.il/rent/viewad,719205.aspx"
יחידת דיור,באר יעקב,אברהם ליכטנשטיין,2.5,0,65,4000,"https://www.homeless.co.il/rent/viewad,719446.aspx"
דירה,באר שבע,הנרי קנדל 14,5,10,150,4700,https://www.yad2.co.il/realestate/item/b8ekszrn?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=3
דירה,באר שבע,סמטת מודיעין 10,4.5,3,70,3600,https://www.yad2.co.il/realestate/item/h6oq5vyn?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=5
דירה,באר שבע,משה שרת 20,4,7,104,3000,https://www.yad2.co.il/realestate/item/k2iknyij?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=5
דירה,באר שבע,חיים נחמן ביאליק 108,1.5,3,28,1600,https://www.yad2.co.il/realestate/item/5ot86j7n?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=7
דירה,באר שבע,דרך השלום 20,3,0,53,2200,https://www.yad2.co.il/realestate/item/kmuogakh?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=9
דירה,באר שבע,"שדרות שז""ר 7",2,3,40,2000,https://www.yad2.co.il/realestate/item/a8gy9myj?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=9
דירה,באר שבע,דרך השלום 101,4,2,110,2699,https://www.yad2.co.il/realestate/item/ysmxg06m?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=11
דירת גן,באר שבע,בני אור 28,2.5,0,50,1990,https://www.yad2.co.il/realestate/item/vsagb2y0?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=12
דירה,באר שבע,סיני 34,4,3,110,3800,https://www.yad2.co.il/realestate/item/b51121xb?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=14
דירה,באר שבע,"ניל""י 7",2,2,45,1650,https://www.yad2.co.il/realestate/item/gsjx24y4?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=14
דירה,באר שבע,מרדכי מקלף 3,3,8,70,2900,https://www.yad2.co.il/realestate/item/d2p044fl?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=16
דירה,באר שבע,בורלא 43,2,0,40,2000,https://www.yad2.co.il/realestate/item/a4p4jc5u?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=16
דירה,באר שבע,דרך השלום 56,3,3,62,2150,https://www.yad2.co.il/realestate/item/fjwvlmsf?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=16
דירה,באר שבע,קפריסין 26,3,3,70,2600,https://www.yad2.co.il/realestate/item/4086ov1e?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=21
דירה,באר שבע,גוש עציון 16,3,7,110,3900,https://www.yad2.co.il/realestate/item/7my6z0ej?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=23
דירה,באר שבע,סמטת קדש 30,4,4,68,1050,https://www.yad2.co.il/realestate/item/vmf82o5c?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=25
דירה,באר שבע,עוזיה המלך 10,2.5,0,70,2400,https://www.yad2.co.il/realestate/item/qc12v3tw?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=26
דירה,באר שבע,בני אור 20,2,0,45,2700,https://www.yad2.co.il/realestate/item/b3csbwgf?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=27
דירה,באר שבע,דרך המשחררים 94,2.5,3,60,2200,https://www.yad2.co.il/realestate/item/i74fosm3?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=29
יחידת דיור,באר שבע,גולומב 41,1,8,40,2200,https://www.yad2.co.il/realestate/item/kegtvbq7?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=34
דירה,באר שבע,טבנקין 38,3.5,0,71,3000,https://www.yad2.co.il/realestate/item/xxnsob4z?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=34
יחידת דיור,באר שבע,אליהו הנביא 13,2,2,16,1600,https://www.yad2.co.il/realestate/item/k8rk4i9a?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=36
דירה,באר שבע,"החיד""א 37",2,4,,1700,https://www.yad2.co.il/realestate/item/ibkx728x?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=37
יחידת דיור,באר שבע,משעול הנבטים 8,2,1,58,2000,https://www.yad2.co.il/realestate/item/2d20hvk0?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=37
בית פרטי/ קוטג',באר שבע,יוסף בן מתתיהו 18,2,0,80,1950,https://www.yad2.co.il/realestate/item/qnkipmw9?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=38
דירה,באר שבע,"רחבת חי""ל 1",3,2,84,2600,https://www.yad2.co.il/realestate/item/ecli33i9?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=43
